agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,accuracy_pct,coverage_pct,accuracy_se_pct
24,resolved,0.65,summary_all,full_model,All non-agent summary features.,23,0.9142857142857144,0.9143808777429469,0.9152542372881356,0.8977272727272727,0.9310344827586208,0.6782945736434108,175,0.8718853935698447,0.9473684210526316,0.6239341085271318,0.7286821705426356,91.42857142857143,67.82945736434108,1.9255874357853802
24,resolved,0.65,hybrid_all,full_model,All summary features plus per-agent vote indicators.,47,0.872093023255814,0.868215994531784,0.8533333333333334,0.9052631578947368,0.8311688311688312,0.6666666666666666,172,0.829390756302521,0.9228209294767632,0.6046511627906976,0.7093992248062017,87.20930232558139,66.66666666666666,2.3834227850571983
24,resolved,0.65,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.835,0.8169565659648053,0.7814569536423841,0.9557522123893806,0.6781609195402298,0.7751937984496124,200,0.7894551519644181,0.8873372110038045,0.7286821705426356,0.8255813953488372,83.5,77.51937984496125,2.4969913020251635
36,resolved,0.65,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.9261363636363636,0.9265788454087562,0.9281767955801103,0.8876404494382022,0.9655172413793104,0.6821705426356589,176,0.8804019350215002,0.9630116959064328,0.6278100775193799,0.7366279069767442,92.61363636363636,68.21705426356588,2.107391859309504
36,resolved,0.65,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.9239766081871345,0.9242134062927496,0.9265536723163842,0.8837209302325582,0.9647058823529412,0.6627906976744186,171,0.879272030651341,0.9649173806609548,0.6044573643410852,0.7135658914728683,92.39766081871345,66.27906976744185,2.184830357388108
36,resolved,0.65,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.9213483146067416,0.924178493798747,0.9146341463414634,0.898989898989899,0.9493670886075948,0.689922480620155,178,0.8756258890469417,0.9595491329479768,0.6356589147286822,0.751937984496124,92.13483146067416,68.9922480620155,2.140899079108039
36,resolved,0.65,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.912280701754386,0.9131773399014778,0.9152542372881356,0.8620689655172413,0.9642857142857144,0.6627906976744186,171,0.8658646521076689,0.9480116338625888,0.6007751937984496,0.7248062015503876,91.2280701754386,66.27906976744185,2.0955862692581597
36,resolved,0.65,summary_all,full_model,All non-agent summary features.,23,0.90625,0.9093843489214296,0.9019607843137256,0.8735632183908046,0.9452054794520548,0.6201550387596899,160,0.8571214713430282,0.9437673611111111,0.5581395348837209,0.6782945736434108,90.625,62.01550387596899,2.210354330818443
36,resolved,0.65,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8944444444444445,0.8936011904761905,0.8862275449101796,0.90625,0.8809523809523809,0.6976744186046512,180,0.8539325842696629,0.9360580472499076,0.6433139534883722,0.7558139534883721,89.44444444444444,69.76744186046511,2.0950373209246096
36,resolved,0.65,hybrid_all,full_model,All summary features plus per-agent vote indicators.,59,0.8857142857142857,0.8864468864468864,0.8837209302325582,0.8681318681318682,0.9047619047619048,0.6782945736434108,175,0.8342619047619048,0.9259311868686868,0.6162790697674418,0.7403100775193798,88.57142857142857,67.82945736434108,2.3385020945607664
36,resolved,0.65,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.8556701030927835,0.8389232606100077,0.8108108108108109,0.954954954954955,0.7228915662650602,0.751937984496124,194,0.810465178096757,0.8968330899848583,0.7015503875968992,0.7986434108527132,85.56701030927834,75.1937984496124,2.2032630583699317
48,resolved,0.65,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.9393939393939394,0.9368279569892471,0.9295774647887324,0.956989247311828,0.9166666666666666,0.6395348837209303,165,0.904408109367718,0.968754852484472,0.5852713178294574,0.6902131782945737,93.93939393939394,63.95348837209303,1.6414985488967866
48,resolved,0.65,summary_all,full_model,All non-agent summary features.,23,0.9345238095238096,0.9300856686510818,0.920863309352518,0.9587628865979382,0.9014084507042254,0.6511627906976745,168,0.8968508437670114,0.9693390124916844,0.5968992248062015,0.7093023255813954,93.45238095238096,65.11627906976744,1.8491879776702298
48,resolved,0.65,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.9186046511627908,0.9218728732816116,0.9156626506024096,0.8817204301075269,0.9620253164556962,0.6666666666666666,172,0.8755971850530281,0.9563596073198628,0.6045542635658915,0.7210271317829458,91.86046511627907,66.66666666666666,2.0602658741539472
48,resolved,0.65,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.9106145251396648,0.9126408010012516,0.9101123595505618,0.8723404255319149,0.9529411764705882,0.6937984496124031,179,0.8618740449041966,0.954093228200371,0.631686046511628,0.7404069767441861,91.06145251396647,69.37984496124031,2.352530186126898
48,resolved,0.65,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.9096045197740112,0.9108056265984654,0.9090909090909092,0.8804347826086957,0.9411764705882352,0.686046511627907,177,0.8678841691050349,0.9535083056478406,0.627906976744186,0.7327519379844961,90.96045197740112,68.6046511627907,2.184289197520555
48,resolved,0.65,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.9085714285714286,0.9108552631578948,0.9036144578313252,0.8842105263157894,0.9375,0.6782945736434108,175,0.8555729135372229,0.950609243697479,0.6161821705426357,0.7248062015503876,90.85714285714286,67.82945736434108,2.4243961775575547
48,resolved,0.65,hybrid_all,full_model,All summary features plus per-agent vote indicators.,71,0.8944444444444445,0.8961840628507295,0.8862275449101796,0.8787878787878788,0.9135802469135802,0.6976744186046512,180,0.8489505912162163,0.9405405405405406,0.6471899224806202,0.748062015503876,89.44444444444444,69.76744186046511,2.3364782990899053
48,resolved,0.65,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.8534031413612565,0.835472972972973,0.8055555555555556,0.945945945945946,0.725,0.7403100775193798,191,0.8040787580915848,0.9021226688289125,0.689922480620155,0.794670542635659,85.34031413612566,74.03100775193798,2.5011201718706038
