agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high
36,resolved,0.65,summary_all,full_model,All non-agent summary features.,23,0.90625,0.9093843489214297,0.9019607843137255,0.8735632183908046,0.9452054794520548,0.6201550387596899,160,0.8571214713430282,0.9437673611111111,0.5581395348837209,0.6782945736434108
36,resolved,0.65,hybrid_all,full_model,All summary features plus per-agent vote indicators.,59,0.8857142857142857,0.8864468864468864,0.8837209302325582,0.8681318681318682,0.9047619047619048,0.6782945736434108,175,0.8342619047619048,0.9259311868686869,0.6162790697674418,0.7403100775193798
36,resolved,0.65,summary_minus_confidence,leave_one_group_out,All summary features except confidence.,21,0.9235294117647059,0.9244564464755574,0.9248554913294798,0.8850574712643678,0.963855421686747,0.6589147286821705,170,0.8888591800356506,0.9593140203154237,0.5968023255813953,0.7132751937984497
36,resolved,0.65,summary_minus_failure,leave_one_group_out,All summary features except failure.,20,0.9125,0.9151314753582114,0.9078947368421053,0.8850574712643678,0.9452054794520548,0.6201550387596899,160,0.8681915016121603,0.953219298245614,0.5697674418604651,0.6667635658914729
36,resolved,0.65,summary_minus_cluster_quality,leave_one_group_out,All summary features except cluster_quality.,18,0.9122807017543859,0.915315934065934,0.9112426035502958,0.8681318681318682,0.9625,0.6627906976744186,171,0.8603155796874019,0.9542857142857143,0.5968992248062015,0.7170542635658915
36,resolved,0.65,summary_minus_vote_uncertainty,leave_one_group_out,All summary features except vote_uncertainty.,20,0.9101796407185628,0.9129148629148629,0.906832298136646,0.8777777777777778,0.948051948051948,0.6472868217054264,167,0.8677767406105864,0.9550721803441901,0.5968023255813953,0.7055232558139536
36,resolved,0.65,hybrid_minus_agent_votes,leave_one_group_out,Hybrid feature set without per-agent vote indicators.,23,0.90625,0.9093843489214297,0.9019607843137255,0.8735632183908046,0.9452054794520548,0.6201550387596899,160,0.8617246240601504,0.9494260148406809,0.5619186046511628,0.6821705426356589
36,resolved,0.65,summary_minus_cluster_disagreement,leave_one_group_out,All summary features except cluster_disagreement.,19,0.9041916167664671,0.9045911047345767,0.9047619047619048,0.8823529411764706,0.926829268292683,0.6472868217054264,167,0.8552625596726529,0.9490472848969017,0.5968023255813953,0.7056201550387597
36,resolved,0.65,summary_minus_quality,leave_one_group_out,All summary features except quality.,18,0.8963414634146342,0.8984645491494807,0.8874172185430463,0.8791208791208791,0.9178082191780822,0.6356589147286822,164,0.8484265734265735,0.9341758790112084,0.5812984496124032,0.6976744186046512
36,resolved,0.65,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.9213483146067416,0.924178493798747,0.9146341463414634,0.898989898989899,0.9493670886075949,0.689922480620155,178,0.8756258890469417,0.9595491329479768,0.6356589147286822,0.751937984496124
36,resolved,0.65,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8944444444444445,0.8936011904761905,0.8862275449101796,0.90625,0.8809523809523809,0.6976744186046512,180,0.8539325842696629,0.9360580472499077,0.6433139534883722,0.7558139534883721
36,resolved,0.65,vote_plus_failure,single_addition,Vote share plus explicit failure signals.,4,0.8685714285714285,0.8600000000000001,0.8391608391608392,0.92,0.8,0.6782945736434108,175,0.8160489366095396,0.9141626966446174,0.6162790697674418,0.7403100775193798
36,resolved,0.65,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.8556701030927835,0.8389232606100077,0.8108108108108109,0.954954954954955,0.7228915662650602,0.751937984496124,194,0.810465178096757,0.8968330899848583,0.7015503875968992,0.7986434108527132
36,resolved,0.65,vote_plus_cluster_disagreement,single_addition,Vote share plus between-cluster disagreement statistics.,5,0.8556149732620321,0.8482970342910101,0.8280254777070064,0.9134615384615384,0.7831325301204819,0.7248062015503876,187,0.7947332859174965,0.9052964141122036,0.6782945736434108,0.7830426356589147
36,resolved,0.65,vote_plus_uncertainty,single_addition,"Vote share plus vote-count, margin, and entropy features.",4,0.8392857142857143,0.838165987698698,0.8285714285714286,0.8632478632478633,0.8130841121495327,0.8682170542635659,224,0.78964734703179,0.8874000121197431,0.8254844961240311,0.9070736434108527
36,resolved,0.65,vote_plus_confidence,single_addition,Vote share plus mean confidence and confidence-weighted Helpful share.,3,0.8284313725490197,0.8135319980459208,0.779874213836478,0.9304347826086956,0.6966292134831461,0.7906976744186046,204,0.7782982746947448,0.8784263959390863,0.7479651162790698,0.8450581395348837
36,resolved,0.65,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.9261363636363636,0.9265788454087562,0.9281767955801105,0.8876404494382022,0.9655172413793104,0.6821705426356589,176,0.8804019350215002,0.9630116959064327,0.6278100775193799,0.7366279069767442
36,resolved,0.65,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.9239766081871345,0.9242134062927496,0.9265536723163842,0.8837209302325582,0.9647058823529412,0.6627906976744186,171,0.879272030651341,0.9649173806609547,0.6044573643410852,0.7135658914728683
36,resolved,0.65,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.9122807017543859,0.9131773399014778,0.9152542372881356,0.8620689655172413,0.9642857142857143,0.6627906976744186,171,0.8658646521076689,0.9480116338625887,0.6007751937984496,0.7248062015503876
