agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,delta_accuracy_vs_vote_only,delta_accuracy_vs_summary_all,delta_accuracy_vs_hybrid_all
12,full,,summary_minus_vote_uncertainty,leave_one_group_out,All summary features except vote_uncertainty.,20,0.813953488372093,0.8139744824265769,0.808,0.8134328358208955,0.8145161290322581,1.0,258,0.7674418604651163,0.8643410852713178,1.0,1.0,0.046511627906976716,0.015503875968992276,-0.015503875968992276
12,full,,summary_minus_quality,leave_one_group_out,All summary features except quality.,18,0.810077519379845,0.8096413095811266,0.8016194331983806,0.8208955223880597,0.7983870967741935,1.0,258,0.7674418604651163,0.8604651162790697,1.0,1.0,0.04263565891472865,0.011627906976744207,-0.019379844961240345
12,full,,summary_minus_failure,leave_one_group_out,All summary features except failure.,20,0.8023255813953488,0.8024795377948964,0.796812749003984,0.7985074626865671,0.8064516129032258,1.0,258,0.748062015503876,0.8489341085271318,1.0,1.0,0.03488372093023251,0.003875968992248069,-0.027131782945736482
12,full,,hybrid_minus_agent_votes,leave_one_group_out,Hybrid feature set without per-agent vote indicators.,23,0.7984496124031008,0.7993500240731826,0.796875,0.7761194029850746,0.8225806451612904,1.0,258,0.748062015503876,0.8527131782945736,1.0,1.0,0.03100775193798444,0.0,-0.03100775193798455
12,full,,summary_minus_cluster_disagreement,leave_one_group_out,All summary features except cluster_disagreement.,19,0.7945736434108527,0.7941141068849302,0.7854251012145749,0.8059701492537313,0.782258064516129,1.0,258,0.7478682170542635,0.8410852713178295,1.0,1.0,0.02713178294573637,-0.003875968992248069,-0.03488372093023262
12,full,,summary_minus_confidence,leave_one_group_out,All summary features except confidence.,21,0.7906976744186046,0.7906836783822822,0.784,0.7910447761194029,0.7903225806451613,1.0,258,0.748062015503876,0.8410852713178295,1.0,1.0,0.023255813953488302,-0.007751937984496138,-0.03875968992248069
12,full,,summary_minus_cluster_quality,leave_one_group_out,All summary features except cluster_quality.,18,0.7906976744186046,0.7909845931632162,0.7857142857142857,0.7835820895522388,0.7983870967741935,1.0,258,0.7403100775193798,0.8372093023255814,1.0,1.0,0.023255813953488302,-0.007751937984496138,-0.03875968992248069
12,full,,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8255813953488372,0.8242657679345209,0.8132780082987552,0.8582089552238806,0.7903225806451613,1.0,258,0.7790697674418605,0.8682170542635659,1.0,1.0,0.05813953488372092,0.027131782945736482,-0.003875968992248069
12,full,,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.8023255813953488,0.8027804525758305,0.7984189723320159,0.7910447761194029,0.8145161290322581,1.0,258,0.755717054263566,0.8488372093023255,1.0,1.0,0.03488372093023251,0.003875968992248069,-0.027131782945736482
12,full,,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.7674418604651163,0.7652864708714493,0.7457627118644068,0.8208955223880597,0.7096774193548387,1.0,258,0.7130813953488373,0.8179263565891474,1.0,1.0,0.0,-0.03100775193798444,-0.06201550387596899
