distribution,population_count,population_prop,year,sample_count,sample_prop,abs_prop_diff,status_label,primary_topic
year_status_topic,4057,0.0016904547018974,2026,35,0.0016297262059973925,6.07284959000076e-05,Helpful,Missing important context
year_status_topic,1172,0.0004883443210805,2026,9,0.00041907245297075806,6.927186810974195e-05,Helpful,Other
year_status_topic,1347,0.0005612626284091,2026,10,0.00046563605885639785,9.562656955270217e-05,Helpful,Outdated information
year_status_topic,231,9.625216567372764e-05,2026,2,9.312721177127957e-05,3.1249539024480715e-06,Helpful,Satire
year_status_topic,557,0.0002320885553258,2026,7,0.0003259452411994785,9.385668587367848e-05,Helpful,Unverified claim as fact
year_status_topic,85188,0.0354957986554697,2026,855,0.039811883032222016,0.004316084376752315,Need More Ratings,Factual error
year_status_topic,30881,0.0128673728492224,2026,273,0.012711864406779662,0.00015550844244273734,Need More Ratings,Manipulated media
year_status_topic,31980,0.0133252998192459,2026,314,0.014620972248090893,0.001295672428844992,Need More Ratings,Missing important context
year_status_topic,39397,0.0164157860218521,2026,401,0.018672005960141555,0.0022562199382894534,Need More Ratings,Not misleading
year_status_topic,14835,0.0061813890812543,2026,137,0.006379214006332651,0.00019782492507835082,Need More Ratings,Other
year_status_topic,10445,0.0043521812574116,2026,102,0.004749487800335258,0.00039730654292365834,Need More Ratings,Outdated information
year_status_topic,1348,0.000561679304451,2026,14,0.000651890482398957,9.021117794795691e-05,Need More Ratings,Satire
year_status_topic,4831,0.0020129619583107,2026,47,0.0021884894766250698,0.0001755275183143697,Need More Ratings,Unverified claim as fact
year_status_topic,3362,0.0014008648527925,2026,35,0.0016297262059973925,0.00022886135320489254,Not Helpful,Factual error
year_status_topic,880,0.0003666749168522,2026,9,0.00041907245297075806,5.2397536118558056e-05,Not Helpful,Manipulated media
year_status_topic,1701,0.0007087659472338,2026,19,0.0008847085118271559,0.0001759425645933559,Not Helpful,Missing important context
year_status_topic,3466,0.0014441991611477,2026,37,0.001722853417768672,0.000278654256620972,Not Helpful,Not misleading
year_status_topic,591,0.0002462555407496,2026,5,0.00023281802942819892,1.3437511321401087e-05,Not Helpful,Other
year_status_topic,480,0.0002000045001012,2026,3,0.00013969081765691934,6.0313682444280655e-05,Not Helpful,Outdated information
year_status_topic,137,5.708461773723242e-05,2026,1,4.6563605885639784e-05,1.0521011851592634e-05,Not Helpful,Satire
year_status_topic,306,0.0001275028688145,2026,4,0.00018625442354255913,5.875155472805912e-05,Not Helpful,Unverified claim as fact
