sample_id,noteId,tweetId
558,1710169339926565058,1710116571723563283
559,1933979928242106642,1933941674528387091
560,1921237631377052133,1920920931892961645
561,1795348941724127709,1795273773345841613
562,2022912258851147825,2022706522787020850
563,2024932037694513323,2024574152074809468
564,1908186948465799556,1908082555254960330
565,1800510945581797479,1800155735508291905
566,1721618732768796911,1721368180877365476
567,1689665968778490135,1689454064957079552
568,1785750039723216981,1785669162364269023
569,1836481792221811141,1836430110175436886
570,1655538751555223553,1655320550065991681
571,1848860304773681285,1848736974141521966
572,1979135692056723523,1979121481977049516
573,1652085789063544832,1652035762798338060
574,1708421229915390177,1708194283751104915
575,1787666234936336665,1787579622189633869
576,1713515980779843848,1713486101388706057
577,1867113926313308226,1866858683533234372
578,1635633721389850624,1635580328466063360
579,2019306893034787102,2019117210858586375
580,2035431388095054012,2035153927746777584
581,2007292506413596987,2007264404086091955
582,1762554367691919739,1762288690418647340
583,2034396862330102054,2034324369921478847
584,1887198111564767577,1886740807471780197
585,2011703341110432197,2011608428624691579
586,1747102353289883819,1746940563822104614
587,1720821753138528713,1720432818856001724
588,1785488339354923249,1785172697309487305
589,1908375709501767870,1907891291989618710
590,1742907714651730393,1742727038849429832
591,1847648998447841414,1847646567911625199
592,1884925827470758365,1884360310762471615
593,1940614090516500917,1940603727288979961
594,1849848868617552043,1838260962484420989
595,1795131345905254435,1795040532235714978
596,1880038737859539343,1880008698388775096
597,2001564619471794577,2001510766017478941
598,1809368366399836642,1809202316492542360
599,1753741119483981828,1753476773315031419
600,1811442142927065180,1811337396245454921
601,1903470660401119372,1903217716032631105
602,2024599073580286053,2024485817922592778
603,1879530844710228213,1878981467335995797
604,1832925037138940037,1832924150043935217
605,2002064654462562517,2001982106914980120
606,2035419054756753785,2035366543849037901
607,1835869335782605245,1835841050713489678
608,1755350726354645040,1755072552408408381
609,1758815882665501109,1758782716974170300
610,1738739755322589209,1738709099674587255
611,1836367287298732417,1835852411711209542
612,1976829315909403085,1976445801070318052
613,2005099465351344285,2004890694318735709
614,1839019552354775299,1839012716628807890
615,1812016652701303057,1811957771216314488
616,1931040233920839793,1930713836543483934
617,1981695566821081487,1981626446096609488
618,1955957116423852218,1955706670824235327
619,1710271822933921854,1709783742594609435
620,1770320603519574166,1770013316095619459
621,1903622181436731784,1903488360884195755
622,1780992308189479298,1780780635302334712
623,1689807247658938793,1689736943666335745
624,1893853179626024981,1893664104172171297
625,2001063022266405127,2001055324803850286
626,2007246009932345670,2006933795354849527
627,1795396286322995300,1781445829217124464
628,1817232729198539129,1817213894366208459
629,1904941428226081165,1904173425842634937
630,1713894105745375528,1713535403758690641
631,1744326937596542982,1744286361593450785
632,1901662445665718316,1901344909874856396
633,2001750813170143622,2001264237935792313
634,1850292911289819156,1850131776691429719
635,1948999854413250560,1948104580996235557
636,2030033407711870995,2029878324009345035
637,1871953964050329852,1871877927203385664
638,1811305777493422426,1811242515439530174
639,1717093171732033895,1716979847690588671
640,2005311830298702026,2005260824013836336
641,1901662872096350665,1901620399751716964
642,1821581221530312761,1821548344386240564
643,1923548301288198577,1923402636235071827
644,1712112935315587101,1711488163682660614
645,2033029514004251078,2032616448716132832
646,1717150717310349393,1716888558987042878
647,1853461767692722655,1853384544377840062
648,1796400306152181872,1796312242985873510
649,1965572638899593429,1965461047906643996
650,2023258875898569037,2023165534788092252
651,1823957374916551006,1823864429001498922
652,1848165296508649982,1847083819553427734
653,1509001227064909827,1508986647882477571
654,1898057399086231565,1897704051220906058
655,1875688882005585972,1875590121887809682
656,2009138987315958146,2009074287492387250
657,1924920165776687418,1924912336873390482
658,1770796964705095833,1770544775571095739
659,1913878771628650883,1912979444660339015
660,1846120392512958489,1846119523218260025
661,1735224310984241362,1735012911922249978
662,1650999529620086784,1650998179884572675
663,1645911550337908737,1645850483116875776
664,1932912151896653930,1932520248986722377
665,1659686748098797569,1658098300203958272
666,1885287383051948455,1884695978839543978
667,1756683888230109488,1756381687087554647
668,1836361935224263089,1836259123664507026
669,1868820810896388439,1868810181347619042
670,1727426436007411881,1727396889853886635
671,2029471920979382365,2029202121581838386
672,1736308663617515677,1736277994384024003
673,1991968679609630821,1991691731142865388
674,1951352231006986566,1951294265721757798
675,1823598084841935008,1823572445556568492
676,1897928460896543081,1897809024453611884
677,1650175709900427266,1648846258667233285
678,1711819837637349641,1711809575114965327
679,1738892624084320266,1738479423261700160
680,1781857857303965868,1781669963830276313
681,1994372958597583087,1994208721963241823
682,1898470579910431063,1898423628288434267
683,1988430705517347205,1988371858136367381
684,1801360508034912413,1800868207768535408
685,1857329229001863416,1856898673558401526
686,2015820924042326367,2015559656270098887
687,1892865852816707808,1891875211676365273
688,1940462399406129274,1940429358956724404
689,1899447860447301779,1899263427131899906
690,1864650296988692912,1864633518082478564
691,2027704412408369237,2027549681627115861
692,1723550200265105799,1723545306472841302
693,1821312305159925822,1821276068021727477
694,1714497860149096651,1714366166351720691
695,1837323112024539174,1836992374188183850
696,1751301598570008633,1751036121587552546
697,1821435771888513423,1821393043175731343
698,1991205412540924118,1990983723559317623
699,2020746052320858232,2017596543885578347
700,1798104221000098203,1797675396206596498
701,2035067640679735439,2034472429855330495
702,1736753134095966439,1736696326245560812
703,1981117333667299606,1981031218716999747
704,1775514987617759428,1775306205352603894
705,1755098342311227496,1754972607147847923
706,1995510143090299151,1995479395398516864
707,1803474407131623464,1803251063908147296
708,1889312981441294541,1889024099256590727
709,1941689661706981519,1940933514087768408
710,1733022320846049414,1732977053341720594
711,1882690091555893463,1882611045094801612
712,1810036095821676746,1810018774621577683
713,1821550605904572483,1821142776307654922
714,1885374607596605580,1885349131771929055
715,1746095808770867445,1745865842141597893
716,2000264700622430237,2000014695181549625
717,1917398575614681397,1917292810790916416
718,1894604314288505096,1894410506045170025
719,1941482683428708590,1941051950377718061
720,2030295095572893733,2029889664820060382
721,1735356843344494672,1734742336800694280
722,1980828692809953468,1980823249790423377
723,2027041694999310575,2026846731065811172
724,1867683168041447664,1867594398814679213
725,2032103531218637073,2032083791867519464
726,1748620598668931294,1748021442438995983
727,1906144494606758155,1906091781436940469
728,1815041430433243529,1814757500744266150
729,1775660727149224356,1775627893739020354
730,1812317627663929823,1812310995617902889
731,1951657547619779011,1951374416488833352
732,1776990359114948886,1776748386806362297
733,1791147569248153606,1790366086858424698
734,1783775996656685424,1783512866798072284
735,1979891502982496636,1979617728173629826
736,1999812476251127889,1999379324768788663
737,1895172128246312991,1894871181280583886
738,1766794946957238636,1766527588518842874
739,1963570546160828826,1963325816475119937
740,1943041970936647884,1942933964261384624
741,1355938232656130050,1355921549753262083
742,1762385121393639687,1762376401913573869
743,1723315204119839195,1720130458132926603
744,1945873759606387047,1945834428753911819
745,1856609922957684938,1856514915131109707
746,2024058803218514254,2024032740912361907
747,2012689614314598836,2012638359546470540
748,1978290063105794528,1978070498639520181
749,1853443508968792080,1853442608841802028
750,1866923767328379055,1866583682594623881
751,1983199026452283828,1982775084575334864
752,1861585722970603584,1861160433463234774
753,2036050234879468009,2035991273312547009
754,1888718798506606727,1785269579209400738
755,1928125995296416252,1927840706871091457
756,1869040909989585407,1868892851649802626
757,1889396204527821116,1889053840055443575
758,1817989893731348716,1817776874329686063
759,1866152890060214728,1866056345260323037
760,2024554153075425321,2024217040454607332
761,1859853203967443021,1859726874894795124
762,1775730790183178366,1775647825684041873
763,1784321866858902005,1783849977409671483
764,2004695818188587445,2004549660632023058
765,1879666884976504884,1879615118218232313
766,1756773559576510654,1756761818029056064
767,1787904531868611047,1787767017744761065
768,1831249644220977600,1831001047931801653
769,2012968369771757631,2012864376202527103
770,1862223751318053365,1862115341742018733
771,1588743364995842048,1588515014020775936
772,2032311920292684101,2032178252190491005
773,1905247510207037815,1905023515742675197
774,1721237546007453777,1721166387291226564
775,1756086590890291576,1756071833290346833
