year,status_label,primary_topic,population_count,target_sample_count,population_prop,target_sample_prop,abs_prop_diff
2025,Helpful,Outdated information,4838,40,0.002015878690603872,0.002,1.5878690603871818e-05
2025,Helpful,Satire,774,6,0.0003225072564132693,0.0003,2.2507256413269313e-05
2025,Helpful,Unverified claim as fact,1717,14,0.0007154327639038545,0.0007,1.5432763903854463e-05
2025,Need More Ratings,Factual error,262227,2185,0.10926370843343976,0.10925,1.3708433439757473e-05
2025,Need More Ratings,Manipulated media,50341,420,0.02097588862416071,0.021,2.4111375839290516e-05
2025,Need More Ratings,Missing important context,107191,893,0.044663921604902776,0.04465,1.3921604902773776e-05
2025,Need More Ratings,Not misleading,138065,1151,0.05752837772183207,0.05755,2.1622278167925113e-05
2025,Need More Ratings,Other,26690,222,0.011121083557713381,0.0111,2.1083557713380552e-05
2025,Need More Ratings,Outdated information,33381,278,0.013909062953916463,0.0139,9.062953916463834e-06
2025,Need More Ratings,Satire,4951,41,0.0020629630833360417,0.00205,1.2963083336041577e-05
2025,Need More Ratings,Unverified claim as fact,14853,124,0.006188889250008125,0.0062,1.1110749991874967e-05
2025,Not Helpful,Factual error,8466,71,0.003527579370535837,0.00355,2.2420629464163077e-05
2025,Not Helpful,Manipulated media,1460,12,0.000608347021141309,0.0006,8.347021141309101e-06
2025,Not Helpful,Missing important context,4368,36,0.0018200409509213956,0.0018,2.0040950921395694e-05
2025,Not Helpful,Not misleading,11376,95,0.004740106652399679,0.00475,9.893347600320457e-06
2025,Not Helpful,Other,1495,13,0.0006229306826070253,0.00065,2.706931739297465e-05
2025,Not Helpful,Outdated information,1399,12,0.0005829297825867748,0.0006,1.7070217413225116e-05
2025,Not Helpful,Satire,464,4,0.00019333768343121055,0.0002,6.662316568789464e-06
2025,Not Helpful,Unverified claim as fact,800,7,0.0003333408335020871,0.00035,1.6659166497912873e-05
2026,Helpful,Factual error,11211,93,0.004671355105489873,0.00465,2.1355105489873592e-05
2026,Helpful,Manipulated media,7147,60,0.002977983671299271,0.003,2.2016328700729098e-05
2026,Helpful,Missing important context,4057,34,0.0016904547018974593,0.0017,9.545298102540609e-06
2026,Helpful,Other,1172,10,0.0004883443210805577,0.0005,1.1655678919442322e-05
