distribution,semantic_topic,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,year,status_label
status_semantic_topic,politics_elections_government,254627,2092,0.10609692630712261,0.1046,0.0014969263071226147,,Need More Ratings
status_semantic_topic,social_culture_identity,85428,708,0.03559578607360912,0.0354,0.00019578607360912215,,Need More Ratings
status_semantic_topic,war_geopolitics_international,151291,1233,0.06303930878473567,0.06165,0.0013893087847356642,,Need More Ratings
status_semantic_topic,crime_law_public_safety,3149,28,0.0013121123091468269,0.0014,8.78876908531731e-05,,Not Helpful
status_semantic_topic,economy_business_crypto,1876,12,0.0007816839288534289,0.0006,0.00018168392885342893,,Not Helpful
status_semantic_topic,entertainment_sports_gaming,2261,19,0.0009421041381330504,0.00095,7.895861866949612e-06,,Not Helpful
status_semantic_topic,health_science_medicine,1421,8,0.0005920964087956942,0.0004,0.00019209640879569418,,Not Helpful
status_semantic_topic,other_misc,19227,159,0.008011426919011128,0.00795,6.142691901112746e-05,,Not Helpful
status_semantic_topic,platform_media_internet,40355,343,0.016814954663582155,0.01715,0.00033504533641784406,,Not Helpful
status_semantic_topic,politics_elections_government,7962,72,0.0033175732630762265,0.0036,0.0002824267369237734,,Not Helpful
status_semantic_topic,social_culture_identity,3953,35,0.0016471197072268678,0.00175,0.0001028802927731322,,Not Helpful
status_semantic_topic,war_geopolitics_international,6686,49,0.0027858948551780518,0.00245,0.00033589485517805185,,Not Helpful
year_status_semantic_topic,crime_law_public_safety,49,0,2.041711754467911e-05,0.0,2.041711754467911e-05,2021.0,Helpful
year_status_semantic_topic,economy_business_crypto,19,0,7.91684149691639e-06,0.0,7.91684149691639e-06,2021.0,Helpful
year_status_semantic_topic,entertainment_sports_gaming,5,0,2.0833793412937868e-06,0.0,2.0833793412937868e-06,2021.0,Helpful
year_status_semantic_topic,health_science_medicine,101,3,4.20842626941345e-05,0.00015,0.00010791573730586549,2021.0,Helpful
year_status_semantic_topic,other_misc,15,0,6.250138023881361e-06,0.0,6.250138023881361e-06,2021.0,Helpful
year_status_semantic_topic,platform_media_internet,202,0,8.4168525388269e-05,0.0,8.4168525388269e-05,2021.0,Helpful
