method,accuracy,balanced_accuracy,resolved_coverage,h_to_nh,nh_to_h,recall_not_helpful,n_not_helpful,recall_needs_more_ratings,n_needs_more_ratings,recall_helpful,n_helpful,accuracy_pct,balanced_accuracy_pct,resolved_coverage_pct,recall_not_helpful_pct,recall_needs_more_ratings_pct,recall_helpful_pct
direct_rf_full_dNone_l6,0.5350877192982456,0.5350877192982456,0.7236842105263158,12,5,0.6842105263157895,76,0.32894736842105265,76,0.5921052631578947,76,53.50877192982456,53.50877192982456,72.36842105263158,68.42105263157895,32.89473684210527,59.210526315789465
twostage_compact_cn1.0_ch0.1_tn0.48_th0.5,0.5350877192982456,0.5350877192982456,0.5043859649122807,3,4,0.5394736842105263,76,0.5921052631578947,76,0.47368421052631576,76,53.50877192982456,53.50877192982456,50.43859649122807,53.94736842105263,59.210526315789465,47.368421052631575
direct_lr_vote_C0.03_balanced,0.5307017543859649,0.5307017543859649,0.9078947368421053,21,7,0.8421052631578947,76,0.11842105263157894,76,0.631578947368421,76,53.07017543859649,53.07017543859649,90.78947368421053,84.21052631578947,11.842105263157894,63.1578947368421
direct_lr_vote_C0.1_none,0.5307017543859649,0.5307017543859649,0.8991228070175439,21,7,0.8421052631578947,76,0.13157894736842105,76,0.618421052631579,76,53.07017543859649,53.07017543859649,89.91228070175438,84.21052631578947,13.157894736842104,61.8421052631579
direct_lr_vote_C3.0_balanced,0.5307017543859649,0.5307017543859649,0.8771929824561403,21,6,0.8421052631578947,76,0.15789473684210525,76,0.5921052631578947,76,53.07017543859649,53.07017543859649,87.71929824561403,84.21052631578947,15.789473684210526,59.210526315789465
direct_lr_vote_C0.1_balanced,0.5307017543859649,0.5307017543859649,0.8903508771929824,21,7,0.8421052631578947,76,0.14473684210526316,76,0.6052631578947368,76,53.07017543859649,53.07017543859649,89.03508771929825,84.21052631578947,14.473684210526317,60.526315789473685
direct_lr_compact_C3.0_none,0.5307017543859649,0.5307017543859649,0.6842105263157895,7,8,0.6052631578947368,76,0.3684210526315789,76,0.618421052631579,76,53.07017543859649,53.07017543859649,68.42105263157895,60.526315789473685,36.84210526315789,61.8421052631579
direct_lr_vote_C0.3_balanced,0.5307017543859649,0.5307017543859649,0.8771929824561403,21,6,0.8421052631578947,76,0.15789473684210525,76,0.5921052631578947,76,53.07017543859649,53.07017543859649,87.71929824561403,84.21052631578947,15.789473684210526,59.210526315789465
direct_lr_vote_official_C3.0_balanced,0.5307017543859649,0.5307017543859649,0.7631578947368421,14,9,0.6710526315789473,76,0.3026315789473684,76,0.618421052631579,76,53.07017543859649,53.07017543859649,76.31578947368422,67.10526315789474,30.263157894736842,61.8421052631579
direct_extra_compact_dNone_l6,0.5307017543859649,0.5307017543859649,0.8289473684210527,15,7,0.7631578947368421,76,0.19736842105263158,76,0.631578947368421,76,53.07017543859649,53.07017543859649,82.89473684210526,76.31578947368422,19.736842105263158,63.1578947368421
direct_rf_full_d2_l6,0.5307017543859649,0.5307017543859649,0.8201754385964912,16,6,0.7631578947368421,76,0.21052631578947367,76,0.618421052631579,76,53.07017543859649,53.07017543859649,82.01754385964912,76.31578947368422,21.052631578947366,61.8421052631579
direct_lr_vote_C1.0_balanced,0.5263157894736842,0.5263157894736842,0.8728070175438597,21,6,0.8421052631578947,76,0.15789473684210525,76,0.5789473684210527,76,52.63157894736842,52.63157894736842,87.28070175438597,84.21052631578947,15.789473684210526,57.89473684210527
direct_lr_vote_C0.3_none,0.5263157894736842,0.5263157894736842,0.881578947368421,21,6,0.8421052631578947,76,0.14473684210526316,76,0.5921052631578947,76,52.63157894736842,52.63157894736842,88.1578947368421,84.21052631578947,14.473684210526317,59.210526315789465
direct_svc_full_C0.3,0.5263157894736842,0.5263157894736842,0.8114035087719298,15,6,0.7368421052631579,76,0.21052631578947367,76,0.631578947368421,76,52.63157894736842,52.63157894736842,81.14035087719299,73.68421052631578,21.052631578947366,63.1578947368421
